Defect	CVE	NVD Description	CWE
Out-of-bounds Read	CVE-2023-0049	Out-of-bounds Read in GitHub repository vim/vim prior to 9.0.1143.	125
Out-of-bounds Write	CVE-2023-0054	Out-of-bounds Write in GitHub repository vim/vim prior to 9.0.1145.	787
Floating Point Comparison with Incorrect Operator	CVE-2022-4293	Floating Point Comparison with Incorrect Operator in GitHub repository vim/vim prior to 9.0.0804.	1077
Use After Free	CVE-2022-4292	Use After Free in GitHub repository vim/vim prior to 9.0.0882.	416
Out-of-bounds Write	CVE-2022-3491	Heap-based Buffer Overflow in GitHub repository vim/vim prior to 9.0.0742.	787
Out-of-bounds Write	CVE-2022-3520	Heap-based Buffer Overflow in GitHub repository vim/vim prior to 9.0.0765.	787
Use After Free	CVE-2022-3591	Use After Free in GitHub repository vim/vim prior to 9.0.0789.	416
Out-of-bounds Write	CVE-2022-4141	Heap based buffer overflow in vim/vim 9.0.0946 and below by allowing an attacker to CTRL-W gf in the expression used in the RHS of the substitute command.	787
Out-of-bounds Write	CVE-2022-3715	A flaw was found in the bash package, where a heap-buffer overflow can occur in valid parameter_transform. This issue may lead to memory problems.	787
Resource Exhaustion	CVE-2022-45061	"An issue was discovered in Python before 3.11.1. An unnecessary quadratic algorithm exists in one path when processing some inputs to the IDNA (RFC 3490) decoder, such that a crafted, unreasonably long name being presented to the decoder could lead to a CPU denial of service. Hostnames are often supplied by remote servers that could be controlled by a malicious actor; in such a scenario, they could trigger excessive CPU consumption on the client attempting to make use of an attacker-supplied supposed hostname. For example, the attack payload could be placed in the Location header of an HTTP response with status code 302. A fix is planned in 3.11.1, 3.10.9, 3.9.16, 3.8.16, and 3.7.16."	400
Off-by-one Error	CVE-2022-3821	An off-by-one Error issue was discovered in Systemd in format_timespan() function of time-util.c. An attacker could supply specific values for time and accuracy that leads to buffer overrun in format_timespan(), leading to a Denial of Service.	193
Out-of-Bounds	CVE-2021-3826	Heap/stack buffer overflow in the dlang_lname function in d-demangle.c in libiberty allows attackers to potentially cause a denial of service (segmentation fault and crash) via a crafted mangled symbol.	119
Use After Free	CVE-2022-3297	Use After Free in GitHub repository vim/vim prior to 9.0.0579.	416
Integer Overflow or Wraparound	CVE-2022-37454	The Keccak XKCP SHA-3 reference implementation before fdc6fef has an integer overflow and resultant buffer overflow that allows attackers to execute arbitrary code or eliminate expected cryptographic properties. This occurs in the sponge function interface.	190
Out-of-Bounds	CVE-2022-3705	A vulnerability was found in vim and classified as problematic. Affected by this issue is the function qf_update_buffer of the file quickfix.c of the component autocmd Handler. The manipulation leads to use after free. The attack may be launched remotely. Upgrading to version 9.0.0805 is able to address this issue. The name of the patch is d0fab10ed2a86698937e3c3fed2f10bd9bb5e731. It is recommended to upgrade the affected component. The identifier of this vulnerability is VDB-212324.	119
Stack-based Buffer Overflow	CVE-2022-3324	Stack-based Buffer Overflow in GitHub repository vim/vim prior to 9.0.0598.	121
Use After Free	CVE-2022-3352	Use After Free in GitHub repository vim/vim prior to 9.0.0614.	416
Use After Free	CVE-2022-3235	Use After Free in GitHub repository vim/vim prior to 9.0.0490.	416
Heap-based Buffer Overflow	CVE-2022-3234	Heap-based Buffer Overflow in GitHub repository vim/vim prior to 9.0.0483.	122
Use After Free	CVE-2022-3256	Use After Free in GitHub repository vim/vim prior to 9.0.0530.	416
Out-of-bounds Write	CVE-2022-3296	Stack-based Buffer Overflow in GitHub repository vim/vim prior to 9.0.0577.	787
Open Redirect	CVE-2021-28861	"** DISPUTED ** Python 3.x through 3.10 has an open redirection vulnerability in lib/http/server.py due to no protection against multiple (/) at the beginning of URI path which may leads to information disclosure. NOTE: this is disputed by a third party because the http.server.html documentation page states ""Warning: http.server is not recommended for production. It only implements basic security checks."""	601
NULL Pointer Dereference	CVE-2022-3278	NULL Pointer Dereference in GitHub repository vim/vim prior to 9.0.0552.	476
Heap-based Buffer Overflow	CVE-2022-2571	Heap-based Buffer Overflow in GitHub repository vim/vim prior to 9.0.0101.	122
Heap-based Buffer Overflow	CVE-2022-0943	Heap-based Buffer Overflow occurs in vim in GitHub repository vim/vim prior to 8.2.4563.	122
Improper Validation of Integrity Check Value	CVE-2021-22922	When curl is instructed to download content using the metalink feature, thecontents is verified against a hash provided in the metalink XML file.The metalink XML file points out to the client how to get the same contentfrom a set of different URLs, potentially hosted by different servers and theclient can then download the file from one or several of them. In a serial orparallel manner.If one of the servers hosting the contents has been breached and the contentsof the specific file on that server is replaced with a modified payload, curlshould detect this when the hash of the file mismatches after a completeddownload. It should remove the contents and instead try getting the contentsfrom another URL. This is not done, and instead such a hash mismatch is onlymentioned in text and the potentially malicious content is kept in the file ondisk.	354
Insufficiently Protected Credentials	CVE-2021-22923	When curl is instructed to get content using the metalink feature, and a user name and password are used to download the metalink XML file, those same credentials are then subsequently passed on to each of the servers from which curl will download or try to download the contents from. Often contrary to the user's expectations and intentions and without telling the user it happened.	522
Heap-based Buffer Overflow	CVE-2022-2264	Heap-based Buffer Overflow in GitHub repository vim/vim prior to 9.0.	122
Buffer Over-read	CVE-2022-1927	Buffer Over-read in GitHub repository vim/vim prior to 8.2.	126
Use After Free	CVE-2022-3037	Use After Free in GitHub repository vim/vim prior to 9.0.0322.	416
Out-of-bounds Write	CVE-2022-1897	Out-of-bounds Write in GitHub repository vim/vim prior to 8.2.	787
Use After Free	CVE-2022-1898	Use After Free in GitHub repository vim/vim prior to 8.2.	416
Out-of-bounds Read	CVE-2022-1851	Out-of-bounds Read in GitHub repository vim/vim prior to 8.2.	125
Heap-based Buffer Overflow	CVE-2022-0407	Heap-based Buffer Overflow in GitHub repository vim/vim prior to 8.2.	122
Out-of-bounds Read	CVE-2022-2183	Out-of-bounds Read in GitHub repository vim/vim prior to 8.2.	125
Heap-based Buffer Overflow	CVE-2022-2849	Heap-based Buffer Overflow in GitHub repository vim/vim prior to 9.0.0220.	122
Out-of-bounds Read	CVE-2022-2581	Out-of-bounds Read in GitHub repository vim/vim prior to 9.0.0104.	125
Out-of-bounds Write	CVE-2022-2344	Heap-based Buffer Overflow in GitHub repository vim/vim prior to 9.0.0045.	787
Use After Free	CVE-2022-2345	Use After Free in GitHub repository vim/vim prior to 9.0.0046.	416
Heap-based Buffer Overflow	CVE-2022-2343	Heap-based Buffer Overflow in GitHub repository vim/vim prior to 9.0.0044.	122
Buffer Over-read	CVE-2022-2845	Buffer Over-read in GitHub repository vim/vim prior to 9.0.0218.	126
Stack-based Buffer Overflow	CVE-2022-0408	Stack-based Buffer Overflow in GitHub repository vim/vim prior to 8.2.	121
Use After Free	CVE-2022-2946	Use After Free in GitHub repository vim/vim prior to 9.0.0246.	416
NULL Pointer Dereference	CVE-2022-2874	NULL Pointer Dereference in GitHub repository vim/vim prior to 9.0.0224.	476
Out-of-bounds Read	CVE-2021-36087	The CIL compiler in SELinux 3.2 has a heap-based buffer over-read in ebitmap_match_any (called indirectly from cil_check_neverallow). This occurs because there is sometimes a lack of checks for invalid statements in an optional block.	125
Credentials Management	CVE-2008-4677	"autoload/netrw.vim (aka the Netrw Plugin) 109, 131, and other versions before 133k for Vim 7.1.266, other 7.1 versions, and 7.2 stores credentials for an FTP session, and sends those credentials when attempting to establish subsequent FTP sessions to servers on different hosts, which allows remote FTP servers to obtain sensitive information in opportunistic circumstances by logging usernames and passwords.  NOTE: the upstream vendor disputes a vector involving different ports on the same host, stating ""I'm assuming that they're using the same id and password on that unchanged hostname, deliberately."""	255
Use After Free	CVE-2021-36085	The CIL compiler in SELinux 3.2 has a use-after-free in __cil_verify_classperms (called from __verify_map_perm_classperms and hashtab_map).	416
Out-of-bounds Write	CVE-2021-46822	The PPM reader in libjpeg-turbo through 2.0.90 mishandles use of tjLoadImage for loading a 16-bit binary PPM file into a grayscale buffer and loading a 16-bit binary PGM file into an RGB buffer. This is related to a heap-based buffer overflow in the get_word_rgb_row function in rdppm.c.	787
Use After Free	CVE-2022-1796	Use After Free in GitHub repository vim/vim prior to 8.2.4979.	416
Uncontrolled Recursion	CVE-2022-1771	Uncontrolled Recursion in GitHub repository vim/vim prior to 8.2.4975.	674
Use After Free	CVE-2022-1968	Use After Free in GitHub repository vim/vim prior to 8.2.	416
Out-of-bounds Write	CVE-2022-2000	Out-of-bounds Write in GitHub repository vim/vim prior to 8.2.	787
Heap-based Buffer Overflow	CVE-2022-1942	Heap-based Buffer Overflow in GitHub repository vim/vim prior to 8.2.	122
Out-of-bounds Write	CVE-2022-31782	ftbench.c in FreeType Demo Programs through 2.12.1 has a heap-based buffer overflow.	787
XML External Entity (XXE) Injection	CVE-2013-0340	"expat 2.1.0 and earlier does not properly handle entities expansion unless an application developer uses the XML_SetEntityDeclHandler function, which allows remote attackers to cause a denial of service (resource consumption), send HTTP requests to intranet servers, or read arbitrary files via a crafted XML document, aka an XML External Entity (XXE) issue. NOTE: it could be argued that because expat already provides the ability to disable external entity expansion, the responsibility for resolving this issue lies with application developers; according to this argument, this entry should be REJECTed, and each affected application would need its own CVE."	611
Out-of-bounds Read	CVE-2022-2257	Out-of-bounds Read in GitHub repository vim/vim prior to 9.0.	125
Out-of-bounds Write	CVE-2022-2210	Out-of-bounds Write in GitHub repository vim/vim prior to 8.2.	787
Heap-based Buffer Overflow	CVE-2022-2182	Heap-based Buffer Overflow in GitHub repository vim/vim prior to 8.2.	122
NULL Pointer Dereference	CVE-2022-2208	NULL Pointer Dereference in GitHub repository vim/vim prior to 8.2.5163.	476
Buffer Over-read	CVE-2022-2175	Buffer Over-read in GitHub repository vim/vim prior to 8.2.	126
NULL Pointer Dereference	CVE-2022-2231	NULL Pointer Dereference in GitHub repository vim/vim prior to 8.2.	476
Use After Free	CVE-2022-2042	Use After Free in GitHub repository vim/vim prior to 8.2.	416
Out-of-bounds Read	CVE-2022-2206	Out-of-bounds Read in GitHub repository vim/vim prior to 8.2.	125
Use of a Broken or Risky Cryptographic Algorithm	CVE-2018-6829	cipher/elgamal.c in Libgcrypt through 1.8.2, when used to encrypt messages directly, improperly encodes plaintexts, which allows attackers to obtain sensitive information by reading ciphertext data (i.e., it does not have semantic security in face of a ciphertext-only attack). The Decisional Diffie-Hellman (DDH) assumption does not hold for Libgcrypt's ElGamal implementation.	327
Information Exposure	CVE-2021-33560	Libgcrypt before 1.8.8 and 1.9.x before 1.9.3 mishandles ElGamal encryption because it lacks exponent blinding to address a side-channel attack against mpi_powm, and the window size is not chosen appropriately. This, for example, affects use of ElGamal in OpenPGP.	203
Use After Free	CVE-2022-3099	Use After Free in GitHub repository vim/vim prior to 9.0.0360.	416
Use After Free	CVE-2022-3016	Use After Free in GitHub repository vim/vim prior to 9.0.0286.	416
NULL Pointer Dereference	CVE-2022-3153	NULL Pointer Dereference in GitHub repository vim/vim prior to 9.0.0404.	476
NULL Pointer Dereference	CVE-2022-2980	NULL Pointer Dereference in GitHub repository vim/vim prior to 9.0.0259.	476
Use After Free	CVE-2022-3134	Use After Free in GitHub repository vim/vim prior to 9.0.0389.	416
NULL Pointer Dereference	CVE-2022-1674	NULL Pointer Dereference in function vim_regexec_string at regexp.c:2733 in GitHub repository vim/vim prior to 8.2.4938. NULL Pointer Dereference in function vim_regexec_string at regexp.c:2733 allows attackers to cause a denial of service (application crash) via a crafted input.	476
Out-of-bounds Write	CVE-2022-2129	Out-of-bounds Write in GitHub repository vim/vim prior to 8.2.	787
Incorrect Permission Assignment for Critical Resource	CVE-2019-19882	shadow 4.8, in certain circumstances affecting at least Gentoo, Arch Linux, and Void Linux, allows local users to obtain root access because setuid programs are misconfigured. Specifically, this affects shadow 4.8 when compiled using --with-libpam but without explicitly passing --disable-account-tools-setuid, and without a PAM configuration suitable for use with setuid account management tools. This combination leads to account management tools (groupadd, groupdel, groupmod, useradd, userdel, usermod) that can easily be used by unprivileged local users to escalate privileges to root in multiple ways. This issue became much more relevant in approximately December 2019 when an unrelated bug was fixed (i.e., the chmod calls to suidusbins were fixed in the upstream Makefile which is now included in the release version 4.8).	732
Out-of-bounds Read	CVE-2022-2124	Buffer Over-read in GitHub repository vim/vim prior to 8.2.	125
Memory Leak	CVE-2021-45346	** DISPUTED ** A Memory Leak vulnerability exists in SQLite Project SQLite3 3.35.1 and 3.37.0 via maliciously crafted SQL Queries (made via editing the Database File), it is possible to query a record, and leak subsequent bytes of memory that extend beyond the record, which could let a malicious user obtain sensitive information. NOTE: The developer disputes this as a vulnerability stating that If you give SQLite a corrupted database file and submit a query against the database, it might read parts of the database that you did not intend or expect.	401
Heap-based Buffer Overflow	CVE-2021-3927	vim is vulnerable to Heap-based Buffer Overflow	122
Link Following	CVE-2013-4392	systemd, when updating file permissions, allows local users to change the permissions and SELinux security contexts for arbitrary files via a symlink attack on unspecified files.	59
Information Exposure	CVE-2021-3426	There's a flaw in Python 3's pydoc. A local or adjacent attacker who discovers or is able to convince another local or adjacent user to start a pydoc server could access the server and use it to disclose sensitive information belonging to the other user that they would not normally be able to access. The highest risk of this flaw is to data confidentiality. This flaw affects Python versions before 3.8.9, Python versions before 3.9.3 and Python versions before 3.10.0a7.	22
Arbitrary Code Injection	CVE-2022-0391	A flaw was found in Python, specifically within the urllib.parse module. This module helps break Uniform Resource Locator (URL) strings into components. The issue involves how the urlparse method does not sanitize input and allows characters like '\r' and '\n' in the URL path. This flaw allows an attacker to input a crafted URL, leading to injection attacks. This flaw affects Python versions prior to 3.10.0b1, 3.9.5, 3.8.11, 3.7.11 and 3.6.14.	74
Out-of-bounds Read	CVE-2021-36690	** DISPUTED ** A segmentation fault can occur in the sqlite3.exe command-line component of SQLite 3.36.0 via the idxGetTableInfo function when there is a crafted SQL query. NOTE: the vendor disputes the relevance of this report because a sqlite3.exe user already has full privileges (e.g., is intentionally allowed to execute commands). This report does NOT imply any problem in the SQLite library.	125
Heap-based Buffer Overflow	CVE-2021-3973	vim is vulnerable to Heap-based Buffer Overflow	122
Access Restriction Bypass	CVE-2007-5686	initscripts in rPath Linux 1 sets insecure permissions for the /var/log/btmp file, which allows local users to obtain sensitive information regarding authentication attempts.  NOTE: because sshd detects the insecure permissions and does not log certain events, this also prevents sshd from logging failed authentication attempts by remote attackers.	264
Buffer Overflow	CVE-2022-1735	Classic Buffer Overflow in GitHub repository vim/vim prior to 8.2.4969.	120
Arbitrary Command Injection	CVE-2015-20107	In Python (aka CPython) up to 3.10.8, the mailcap module does not add escape characters into commands discovered in the system mailcap file. This may allow attackers to inject shell commands into applications that call mailcap.findmatch with untrusted input (if they lack validation of user-provided filenames or arguments). The fix is also back-ported to 3.7, 3.8, 3.9	77
Authentication Bypass	CVE-2020-13529	An exploitable denial-of-service vulnerability exists in Systemd 245. A specially crafted DHCP FORCERENEW packet can cause a server running the DHCP client to be vulnerable to a DHCP ACK spoofing attack. An attacker can forge a pair of FORCERENEW and DCHP ACK packets to reconfigure the server.	290
Improper Validation of Array Index	CVE-2022-35737	SQLite 1.0.12 through 3.39.x before 3.39.2 sometimes allows an array-bounds overflow if billions of bytes are used in a string argument to a C API.	129
Heap-based Buffer Overflow	CVE-2021-3903	vim is vulnerable to Heap-based Buffer Overflow	122
Out-of-bounds Write	CVE-2022-2125	Heap-based Buffer Overflow in GitHub repository vim/vim prior to 8.2.	787
Buffer Over-read	CVE-2022-1720	Buffer Over-read in function grab_file_name in GitHub repository vim/vim prior to 8.2.4956. This vulnerability is capable of crashing the software, memory modification, and possible remote execution.	126
Use After Free	CVE-2022-2862	Use After Free in GitHub repository vim/vim prior to 9.0.0221.	416
Heap-based Buffer Overflow	CVE-2022-2522	Heap-based Buffer Overflow in GitHub repository vim/vim prior to 9.0.0061.	122
Use After Free	CVE-2022-2889	Use After Free in GitHub repository vim/vim prior to 9.0.0225.	416
Information Exposure	CVE-2022-0563	"A flaw was found in the util-linux chfn and chsh utilities when compiled with Readline support. The Readline library uses an ""INPUTRC"" environment variable to get a path to the library config file. When the library cannot parse the specified file, it prints an error message containing data from the file. This flaw allows an unprivileged user to read root-owned files, potentially leading to privilege escalation. This flaw affects util-linux versions prior to 2.37.4."	209
Out-of-bounds Read	CVE-2022-2816	Out-of-bounds Read in GitHub repository vim/vim prior to 9.0.0212.	125
Out-of-bounds Write	CVE-2022-1621	Heap buffer overflow in vim_strncpy find_word in GitHub repository vim/vim prior to 8.2.4919. This vulnerability is capable of crashing software, Bypass Protection Mechanism, Modify Memory, and possible remote execution	787
Out-of-bounds Read	CVE-2022-2126	Out-of-bounds Read in GitHub repository vim/vim prior to 8.2.	125
NULL Pointer Dereference	CVE-2022-2923	NULL Pointer Dereference in GitHub repository vim/vim prior to 9.0.0240.	476
Heap-based Buffer Overflow	CVE-2021-3968	vim is vulnerable to Heap-based Buffer Overflow	122
Stack-based Buffer Overflow	CVE-2021-3928	vim is vulnerable to Use of Uninitialized Variable	457
Heap-based Buffer Overflow	CVE-2022-2819	Heap-based Buffer Overflow in GitHub repository vim/vim prior to 9.0.0211.	122
Use After Free	CVE-2022-2817	Use After Free in GitHub repository vim/vim prior to 9.0.0213.	416
Link Following	CVE-2011-4116	_is_safe in the File::Temp module for Perl does not properly handle symlinks.	59
Memory Leak	CVE-2019-6129	"** DISPUTED ** png_create_info_struct in png.c in libpng 1.6.36 has a memory leak, as demonstrated by pngcp. NOTE: a third party has stated ""I don't think it is libpng's job to free this buffer."""	401
Use After Free	CVE-2021-36084	The CIL compiler in SELinux 3.2 has a use-after-free in __cil_verify_classperms (called from __cil_verify_classpermission and __cil_pre_verify_helper).	416
Improper Verification of Cryptographic Signature	CVE-2020-16156	CPAN 2.28 allows Signature Verification Bypass.	347
Use of Out-of-range Pointer Offset	CVE-2022-0729	Use of Out-of-range Pointer Offset in GitHub repository vim/vim prior to 8.2.4440.	119
Buffer Over-read	CVE-2022-1769	Buffer Over-read in GitHub repository vim/vim prior to 8.2.4974.	126
Out-of-Bounds	CVE-2022-0351	Access of Memory Location Before Start of Buffer in GitHub repository vim/vim prior to 8.2.	119
Out-of-bounds Read	CVE-2022-0393	Out-of-bounds Read in GitHub repository vim/vim prior to 8.2.	125
Out-of-bounds Read	CVE-2022-0368	Out-of-bounds Read in GitHub repository vim/vim prior to 8.2.	125
Out-of-bounds Read	CVE-2021-4156	An out-of-bounds read flaw was found in libsndfile's FLAC codec functionality. An attacker who is able to submit a specially crafted file (via tricking a user to open or otherwise) to an application linked with libsndfile and using the FLAC codec, could trigger an out-of-bounds read that would most likely cause a crash but could potentially leak memory information that could be used in further exploitation of other flaws.	125
Out-of-bounds Write	CVE-2022-1733	Heap-based Buffer Overflow in GitHub repository vim/vim prior to 8.2.4968.	787
Cross-site Scripting (XSS)	CVE-2016-3709	Possible cross-site scripting vulnerability in libxml after commit 960f0e2.	79
Information Exposure	CVE-2017-1000382	"VIM version 8.0.1187 (and other versions most likely) ignores umask when creating a swap file (""[ORIGINAL_FILENAME].swp"") resulting in files that may be world readable or otherwise accessible in ways not intended by the user running the vi binary."	200
Out-of-bounds Write	CVE-2022-1785	Out-of-bounds Write in GitHub repository vim/vim prior to 8.2.4977.	787
Out-of-bounds Write	CVE-2022-38533	In GNU Binutils before 2.40, there is a heap-buffer-overflow in the error function bfd_getl32 when called from the strip_main function in strip-new via a crafted file.	787
Uncontrolled Recursion	CVE-2021-46195	GCC v12.0 was discovered to contain an uncontrolled recursion via the component libiberty/rust-demangle.c. This vulnerability allows attackers to cause a Denial of Service (DoS) by consuming excessive CPU and memory resources.	674
Heap-based Buffer Overflow	CVE-2022-0392	Heap-based Buffer Overflow in GitHub repository vim prior to 8.2.	122
Out-of-bounds Write	CVE-2022-0318	Heap-based Buffer Overflow in vim/vim prior to 8.2.	122
Heap-based Buffer Overflow	CVE-2022-1886	Heap-based Buffer Overflow in GitHub repository vim/vim prior to 8.2.	122
Heap-based Buffer Overflow	CVE-2022-2207	Heap-based Buffer Overflow in GitHub repository vim/vim prior to 8.2.	122
Improper Certificate Validation	CVE-2020-15719	libldap in certain third-party OpenLDAP packages has a certificate-validation flaw when the third-party package is asserting RFC6125 support. It considers CN even when there is a non-matching subjectAltName (SAN). This is fixed in, for example, openldap-2.4.46-10.el8 in Red Hat Enterprise Linux.	295
Use of Out-of-range Pointer Offset	CVE-2022-0554	Use of Out-of-range Pointer Offset in GitHub repository vim/vim prior to 8.2.	823
Use After Free	CVE-2022-2982	Use After Free in GitHub repository vim/vim prior to 9.0.0260.	416
NULL Pointer Dereference	CVE-2022-1620	NULL Pointer Dereference in function vim_regexec_string at regexp.c:2729 in GitHub repository vim/vim prior to 8.2.4901. NULL Pointer Dereference in function vim_regexec_string at regexp.c:2729 allows attackers to cause a denial of service (application crash) via a crafted input.	476
Out-of-bounds Read	CVE-2022-0319	Out-of-bounds Read in vim/vim prior to 8.2.	125
Use After Free	CVE-2021-4192	vim is vulnerable to Use After Free	416
Heap-based Buffer Overflow	CVE-2022-0213	vim is vulnerable to Heap-based Buffer Overflow	122
Heap-based Buffer Overflow	CVE-2022-0158	vim is vulnerable to Heap-based Buffer Overflow	122
Cryptographic Issues	CVE-2007-6755	"The NIST SP 800-90A default statement of the Dual Elliptic Curve Deterministic Random Bit Generation (Dual_EC_DRBG) algorithm contains point Q constants with a possible relationship to certain ""skeleton key"" values, which might allow context-dependent attackers to defeat cryptographic protection mechanisms by leveraging knowledge of those values.  NOTE: this is a preliminary CVE for Dual_EC_DRBG; future research may provide additional details about point Q and associated attacks, and could potentially lead to a RECAST or REJECT of this CVE."	310
Release of Invalid Pointer or Reference	CVE-2021-45261	An Invalid Pointer vulnerability exists in GNU patch 2.7 via the another_hunk function, which causes a Denial of Service.	763
Cryptographic Issues	CVE-2010-0928	"OpenSSL 0.9.8i on the Gaisler Research LEON3 SoC on the Xilinx Virtex-II Pro FPGA uses a Fixed Width Exponentiation (FWE) algorithm for certain signature calculations, and does not verify the signature before providing it to a caller, which makes it easier for physically proximate attackers to determine the private key via a modified supply voltage for the microprocessor, related to a ""fault-based attack."""	310
Use After Free	CVE-2022-0156	vim is vulnerable to Use After Free	416
Use After Free	CVE-2021-3974	vim is vulnerable to Use After Free	416
Use After Free	CVE-2022-1154	Use after free in utf_ptr2char in GitHub repository vim/vim prior to 8.2.4646.	416
Heap-based Buffer Overflow	CVE-2021-4136	vim is vulnerable to Heap-based Buffer Overflow	122
Heap-based Buffer Overflow	CVE-2021-4019	vim is vulnerable to Heap-based Buffer Overflow	122
Heap-based Buffer Overflow	CVE-2022-0714	Heap-based Buffer Overflow in GitHub repository vim/vim prior to 8.2.4436.	122
Stack-based Buffer Overflow	CVE-2022-0629	Stack-based Buffer Overflow in GitHub repository vim/vim prior to 8.2.	121
NULL Pointer Dereference	CVE-2022-0696	NULL Pointer Dereference in GitHub repository vim/vim prior to 8.2.4428.	476
Out-of-bounds Read	CVE-2021-4166	vim is vulnerable to Out-of-bounds Read	125
Heap-based Buffer Overflow	CVE-2022-1619	Heap-based Buffer Overflow in function cmdline_erase_chars in GitHub repository vim/vim prior to 8.2.4899. This vulnerabilities are capable of crashing software, modify memory, and possible remote execution	122
Buffer Over-read	CVE-2022-1629	Buffer Over-read in function find_next_quote in GitHub repository vim/vim prior to 8.2.4925. This vulnerabilities are capable of crashing software, Modify Memory, and possible remote execution	126
Heap-based Buffer Overflow	CVE-2022-0417	Heap-based Buffer Overflow GitHub repository vim/vim prior to 8.2.	122
Use After Free	CVE-2022-0413	Use After Free in GitHub repository vim/vim prior to 8.2.	416
Out-of-bounds Write	CVE-2022-0261	Heap-based Buffer Overflow in GitHub repository vim/vim prior to 8.2.	122
Use of Out-of-range Pointer Offset	CVE-2022-0685	Use of Out-of-range Pointer Offset in GitHub repository vim/vim prior to 8.2.4418.	823
Use of Out-of-range Pointer Offset	CVE-2022-1420	Use of Out-of-range Pointer Offset in GitHub repository vim/vim prior to 8.2.4774.	823
Use After Free	CVE-2022-1616	Use after free in append_command in GitHub repository vim/vim prior to 8.2.4895. This vulnerability is capable of crashing software, Bypass Protection Mechanism, Modify Memory, and possible remote execution	416
Use After Free	CVE-2021-4069	vim is vulnerable to Use After Free	416
Out-of-bounds Read	CVE-2022-29458	ncurses 6.3 before patch 20220416 has an out-of-bounds read and segmentation violation in convert_strings in tinfo/read_entry.c in the terminfo library.	125
Out-of-bounds Write	CVE-2022-0572	Heap-based Buffer Overflow in GitHub repository vim/vim prior to 8.2.	122
Heap-based Buffer Overflow	CVE-2021-3872	vim is vulnerable to Heap-based Buffer Overflow	122
Use After Free	CVE-2021-4173	vim is vulnerable to Use After Free	416
Heap-based Buffer Overflow	CVE-2021-3984	vim is vulnerable to Heap-based Buffer Overflow	122
Use After Free	CVE-2022-0443	Use After Free in GitHub repository vim/vim prior to 8.2.	416
Out-of-bounds Read	CVE-2021-4193	vim is vulnerable to Out-of-bounds Read	125
